iter	RMSE
0	109218.8429
1	107092.4803
2	105095.3324
3	103159.9242
4	101356.0319
5	99656.67197
6	98234.67723
7	96727.42485
8	95289.364
9	94037.29928
10	92839.15902
11	91711.94666
12	90535.94242
13	89525.25804
14	88531.08415
15	87580.05539
16	86731.67715
17	85953.60346
18	85177.92911
19	84410.58405
20	83716.7796
21	83059.2723
22	82408.41129
23	81787.52787
24	81182.8677
25	80619.44561
26	80103.5197
27	79626.4205
28	79155.69076
29	78685.14761
30	78263.91519
31	77845.23062
32	77437.62098
33	77073.52633
34	76665.337
35	76382.9095
36	76077.47879
37	75757.75817
38	75437.5375
39	75122.40218
40	74805.94309
41	74541.52853
42	74253.48607
43	73984.14097
44	73705.39352
45	73424.12161
46	73172.58502
47	72936.62376
48	72686.17014
49	72464.40886
50	72255.34636
51	72022.93483
52	71825.08278
53	71620.24605
54	71402.71588
55	71258.25594
56	71053.76175
57	70901.5058
58	70740.28134
59	70570.45213
60	70407.94566
61	70237.47061
62	70047.67995
63	69873.29434
64	69715.06636
65	69578.92001
66	69429.41866
67	69280.57323
68	69138.99878
69	69018.82558
70	68886.96934
71	68720.37904
72	68596.22072
73	68482.39916
74	68352.35356
75	68204.76874
76	68075.99781
77	67942.71533
78	67843.88347
79	67724.82872
80	67621.15197
81	67494.31938
82	67383.17186
83	67250.09827
84	67134.87304
85	67026.22567
86	66911.27992
87	66832.41968
88	66738.71987
89	66650.39928
90	66587.93575
91	66486.13361
92	66397.52851
93	66334.27604
94	66236.6203
95	66134.96744
96	66016.63635
97	65918.7587
98	65810.62131
99	65749.44063
100	65666.83639
101	65593.87252
102	65512.23772
103	65456.02609
104	65366.88384
105	65316.08812
106	65196.54018
107	65123.61713
108	65048.98404
109	64984.90798
110	64944.83232
111	64887.45816
112	64806.07332
113	64738.40858
114	64669.7212
115	64589.41633
116	64512.4038
117	64452.99676
118	64346.47878
119	64273.44713
120	64182.33929
121	64123.69954
122	64081.83512
123	64017.3863
124	63932.40334
125	63849.6986
126	63781.4399
127	63690.83792
128	63614.08254
129	63536.68932
130	63465.71886
131	63393.34722
132	63341.14792
133	63266.02289
134	63220.97629
135	63152.86695
136	63104.61461
137	63058.45945
138	62996.63729
139	62934.79846
140	62852.3826
141	62796.00649
142	62746.91859
143	62703.2587
144	62620.24357
145	62543.6508
146	62502.91328
147	62441.48253
148	62377.59135
149	62298.3732
150	62240.83828
151	62217.54785
152	62143.4211
153	62070.98611
154	62005.34184
155	61963.36943
156	61920.57905
157	61873.71596
158	61822.04863
159	61743.13513
160	61699.78122
161	61653.16569
162	61612.16032
163	61558.15048
164	61500.64104
165	61424.65252
166	61363.00692
167	61315.16913
168	61281.75372
169	61205.57032
170	61176.42932
171	61121.29414
172	61056.28417
173	61011.47775
174	60958.27066
175	60887.92974
176	60846.53229
177	60744.99964
178	60693.54412
179	60643.12931
180	60593.44514
181	60544.72052
182	60475.49721
183	60435.63473
184	60405.82683
185	60352.02781
186	60290.48766
187	60253.66547
188	60194.54725
189	60139.50425
190	60073.22251
191	60033.74303
192	59980.3914
193	59947.64499
194	59896.45855
195	59825.96796
196	59789.46274
197	59737.92363
198	59686.15
199	59604.20626
200	59570.85177
201	59531.40192
202	59472.04256
203	59428.85169
204	59398.69041
205	59365.06284
206	59315.99211
207	59271.62724
208	59226.46742
209	59192.18462
210	59152.45309
211	59107.70067
212	59073.72991
213	59018.26588
214	58976.99362
215	58926.98554
216	58886.577
217	58827.53629
218	58782.6154
219	58724.7983
220	58683.18756
221	58649.40879
222	58569.19236
223	58531.59787
224	58502.63404
225	58467.63317
226	58428.32129
227	58370.5592
228	58321.86857
229	58274.01107
230	58239.83628
231	58183.38643
232	58139.71819
233	58094.53616
234	58065.40545
235	58026.90001
236	57972.51154
237	57910.05243
238	57872.9506
239	57840.89786
240	57782.6783
241	57745.22827
242	57693.4965
243	57660.28194
244	57611.32618
245	57580.69672
246	57544.53545
247	57493.06468
248	57456.92729
249	57394.15682
250	57342.75431
251	57293.46288
252	57253.22742
253	57197.65823
254	57154.88762
255	57113.46994
256	57060.88744
257	57013.95966
258	56974.68412
259	56908.76311
260	56861.84784
261	56799.25322
262	56767.71214
263	56718.00118
264	56666.36982
265	56623.97862
266	56581.15429
267	56540.24925
268	56491.51361
269	56440.7519
270	56410.96395
271	56379.55885
272	56329.31858
273	56286.86403
274	56245.67892
275	56195.65603
276	56151.19432
277	56119.56278
278	56071.0499
279	56051.87322
280	55996.19429
281	55943.25513
282	55882.19649
283	55842.62482
284	55808.31557
285	55766.10899
286	55709.22453
287	55657.61712
288	55628.61047
289	55591.15094
290	55553.06767
291	55511.56853
292	55461.60736
293	55417.70633
294	55361.77659
295	55304.09316
296	55248.54929
297	55212.38301
298	55173.9066
299	55112.88558
300	55062.00646
301	55026.15776
302	54984.0627
303	54948.71466
304	54925.76993
305	54879.74883
306	54847.05341
307	54810.51053
308	54761.66453
309	54727.87045
310	54690.00798
311	54637.69975
312	54609.87795
313	54580.11173
314	54553.70765
315	54520.25642
316	54486.53276
317	54451.9517
318	54407.26053
319	54363.33083
320	54336.65319
321	54309.59031
322	54262.59453
323	54238.1239
324	54192.97182
325	54146.44404
326	54117.97373
327	54076.1431
328	54043.12242
329	54011.14166
330	53987.23953
331	53934.48842
332	53895.86581
333	53852.34302
334	53830.31679
335	53775.60105
336	53724.75028
337	53678.2681
338	53634.94559
339	53598.62247
340	53554.4676
341	53518.52554
342	53471.63859
343	53433.09576
344	53390.30752
345	53358.96842
346	53327.12007
347	53286.76696
348	53259.08524
349	53205.34622
350	53165.3898
351	53123.62249
352	53107.62011
353	53068.66335
354	53014.32547
355	52971.12285
356	52927.45883
357	52884.93975
358	52856.29177
359	52808.39209
360	52762.8558
361	52727.07842
362	52668.41703
363	52631.0536
364	52601.88661
365	52555.35623
366	52517.89614
367	52496.67012
368	52462.21659
369	52425.43173
370	52398.80231
371	52364.69728
372	52333.35574
373	52285.81836
374	52253.2459
375	52211.22643
376	52179.21285
377	52150.63398
378	52132.51426
379	52099.3841
380	52070.32216
381	52024.43833
382	51976.07191
383	51939.17348
384	51909.37126
385	51868.69816
386	51839.403
387	51811.41664
388	51772.95293
389	51732.40963
390	51696.9131
391	51660.94233
392	51627.8656
393	51594.3758
394	51556.1624
395	51536.59441
396	51501.28135
397	51457.48312
398	51421.43892
399	51378.88302
400	51338.33393
401	51292.63184
402	51262.70344
403	51217.37327
404	51201.80524
405	51172.60989
406	51165.48681
407	51122.3866
408	51114.84188
409	51072.58675
410	51027.61952
411	50994.48998
412	50975.74757
413	50940.62034
414	50918.30092
415	50894.04065
416	50869.50285
417	50836.9695
418	50810.33849
419	50780.69328
420	50756.53645
421	50733.9744
422	50716.38014
423	50685.85712
424	50642.53954
425	50610.95995
426	50594.45382
427	50559.02227
428	50524.07327
429	50506.76203
430	50471.35637
431	50433.89725
432	50394.1903
433	50365.40661
434	50330.99695
435	50303.82686
436	50285.75783
437	50260.815
438	50227.65698
439	50184.71289
440	50153.33786
441	50124.22306
442	50094.18182
443	50066.26531
444	50030.77628
445	49994.0799
446	49957.19137
447	49931.36455
448	49902.42506
449	49874.58989
450	49859.52283
451	49821.08314
452	49793.70967
453	49767.69854
454	49744.39468
455	49723.87405
456	49691.78625
457	49642.39885
458	49600.39671
459	49569.27989
460	49541.04381
461	49517.82233
462	49498.60755
463	49479.97319
464	49440.83528
465	49418.89984
466	49389.35748
467	49356.97165
468	49325.88249
469	49288.8176
470	49259.39739
471	49228.19774
472	49201.61742
473	49177.9836
474	49158.7687
475	49134.30176
476	49117.97795
477	49094.42969
478	49071.91993
479	49047.41147
480	49020.48277
481	48996.45352
482	48955.68297
483	48935.78555
484	48912.71154
485	48883.36427
486	48853.27008
487	48827.50372
488	48798.55779
489	48769.61475
490	48749.88119
491	48701.68159
492	48667.17469
493	48651.57918
494	48616.71065
495	48602.87297
496	48582.40885
497	48552.30347
498	48523.81698
499	48507.43504
500	48482.14682
501	48458.79788
502	48436.06063
503	48396.12047
504	48369.49361
505	48354.10122
506	48330.83439
507	48302.03126
508	48281.2896
509	48269.40534
510	48241.2375
511	48205.44284
512	48166.0545
513	48140.90871
514	48115.10768
515	48093.31403
516	48074.84414
517	48053.35324
518	48025.94923
519	47997.36469
520	47979.85487
521	47964.72668
522	47939.13364
523	47903.09136
524	47880.62655
525	47837.62068
526	47814.21533
527	47789.89884
528	47771.6477
529	47761.61176
530	47733.04282
531	47693.74426
532	47669.45885
533	47642.07351
534	47617.91757
535	47588.28499
536	47554.62166
537	47538.28062
538	47510.72396
539	47490.40201
540	47466.74532
541	47437.52486
542	47415.33942
543	47409.78215
544	47377.39278
545	47347.11713
546	47315.68962
547	47297.57182
548	47276.50853
549	47248.2536
550	47208.66218
551	47199.90386
552	47172.67574
553	47149.96581
554	47119.91265
555	47091.51636
556	47060.6579
557	47040.16075
558	47026.65396
559	47001.54799
560	46967.26641
561	46957.59322
562	46917.8223
563	46896.38205
564	46875.1286
565	46848.90321
566	46821.74388
567	46795.39625
568	46782.30026
569	46765.83719
570	46751.93184
571	46737.05725
572	46712.53696
573	46701.96245
574	46673.35563
575	46653.31084
576	46633.53845
577	46609.34594
578	46588.39086
579	46572.97618
580	46557.47184
581	46527.65326
582	46494.35406
583	46483.04997
584	46455.61534
585	46432.54871
586	46403.06295
587	46391.28064
588	46359.0694
589	46350.02613
590	46331.05231
591	46307.56817
592	46283.43289
593	46262.95325
594	46230.58446
595	46204.9151
