iter	Passed	Remaining
0	97	194666
1	186	186670
2	287	191148
3	415	207435
4	511	204098
5	615	204564
6	719	204753
7	837	208591
8	954	211190
9	1071	213214
10	1204	217787
11	1337	221544
12	1438	219871
13	1580	224200
14	1704	225615
15	1835	227658
16	1963	229092
17	2100	231315
18	2197	229127
19	2305	228288
20	2409	227031
21	2520	226652
22	2629	226055
23	2740	225638
24	2849	225073
25	2969	225417
26	3087	225624
27	3216	226528
28	3318	225568
29	3432	225422
30	3549	225454
31	3657	224928
32	3778	225243
33	3878	224246
34	3988	223901
35	4108	224160
36	4206	223185
37	4312	222669
38	4411	221827
39	4515	221249
40	4635	221485
41	4748	221356
42	4874	221827
43	4979	221380
44	5088	221069
45	5193	220597
46	5312	220761
47	5417	220305
48	5521	219865
49	5635	219794
50	5758	220075
51	5877	220180
52	5994	220217
53	6100	219830
54	6203	219373
55	6310	219079
56	6426	219064
57	6549	219284
58	6668	219375
59	6770	218919
60	6876	218586
61	6994	218648
62	7108	218557
63	7217	218340
64	7324	218043
65	7444	218133
66	7553	217937
67	7676	218107
68	7785	217880
69	7904	217933
70	8022	217965
71	8150	218247
72	8246	217688
73	8340	217070
74	8453	216970
75	8565	216853
76	8678	216732
77	8779	216326
78	8882	215990
79	8993	215834
80	9110	215844
81	9235	216022
82	9331	215533
83	9437	215270
84	9534	214810
85	9647	214721
86	9760	214623
87	9873	214518
88	9980	214309
89	10080	213929
90	10183	213623
91	10287	213361
92	10396	213180
93	10500	212922
94	10600	212570
95	10713	212490
96	10826	212400
97	10930	212137
98	11039	211977
99	11148	211829
100	11255	211622
101	11390	211946
102	11511	212018
103	11627	211983
104	11723	211579
105	11830	211377
106	11943	211295
107	12046	211029
108	12152	210832
109	12260	210654
110	12366	210457
111	12498	210694
112	12634	210988
113	12792	211637
114	12901	211469
115	13020	211475
116	13118	211128
117	13231	211028
118	13336	210806
119	13424	210316
120	13537	210226
121	13654	210194
122	13757	209942
123	13883	210044
124	13977	209666
125	14084	209479
126	14189	209273
127	14311	209310
128	14428	209272
129	14534	209072
130	14653	209057
131	14763	208923
132	14892	209060
133	15005	208959
134	15112	208773
135	15216	208554
136	15334	208520
137	15450	208475
138	15554	208253
139	15659	208047
140	15773	207969
141	15891	207933
142	16000	207780
143	16122	207797
144	16238	207736
145	16341	207518
146	16445	207305
147	16533	206897
148	16638	206694
149	16750	206587
150	16860	206459
151	16972	206348
152	17066	206024
153	17194	206115
154	17315	206104
155	17439	206145
156	17561	206147
157	17682	206149
158	17792	206009
159	17901	205869
160	18002	205625
161	18114	205524
162	18218	205316
163	18328	205186
164	18438	205059
165	18554	204988
166	18663	204851
167	18768	204671
168	18886	204620
169	18989	204414
170	19087	204154
171	19192	203977
172	19294	203766
173	19413	203728
174	19533	203704
175	19652	203671
176	19764	203566
177	19868	203378
178	19984	203309
179	20095	203190
180	20206	203067
181	20333	203113
182	20454	203093
183	20607	203383
184	20707	203152
185	20823	203082
186	20933	202952
187	21036	202758
188	21151	202678
189	21257	202507
190	21374	202446
191	21494	202404
192	21596	202197
193	21703	202044
194	21824	202020
195	21959	202115
196	22069	201984
197	22172	201796
198	22282	201665
199	22421	201795
200	22536	201705
201	22634	201466
202	22745	201345
203	22855	201216
204	22963	201071
205	23067	200888
206	23174	200731
207	23291	200667
208	23414	200650
209	23519	200477
210	23632	200370
211	23748	200290
212	24085	202070
213	24276	202608
214	24409	202657
215	24523	202548
216	24631	202390
217	24727	202133
218	24841	202021
219	24971	202042
220	25092	201989
221	25212	201923
222	25320	201771
223	25461	201875
224	25585	201843
225	25682	201592
226	25794	201469
227	25909	201365
228	25997	201053
229	26105	200895
230	26208	200702
231	26323	200602
232	26439	200506
233	26571	200538
234	26707	200592
235	26817	200452
236	26955	200518
237	27069	200406
238	27207	200469
239	27378	200778
240	27497	200694
241	27587	200404
242	27695	200250
243	27810	200144
244	27902	199875
245	28001	199651
246	28110	199506
247	28211	199298
